epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,50.6591,1.62795,2.88055,1.4551,0.00222,0.4,0.00304,0.00081,2.59273,4.10002,1.48267,0.0003812,0.0003812,0.0003812
14,54.3777,1.46705,2.75415,1.32595,0.00333,0.6,0.01772,0.00535,2.56996,3.93651,1.42521,0.000401004,0.000401004,0.000401004
15,57.9905,1.28505,1.89276,1.25526,0.00333,0.6,0.01772,0.00535,2.56996,3.93651,1.42521,0.000419224,0.000419224,0.000419224
16,61.6593,1.25582,2.3487,1.20124,0.00222,0.4,0.0031,0.00104,2.52478,4.06784,1.45768,0.00043586,0.00043586,0.00043586
17,65.2821,1.04857,2.43564,1.14201,0.00333,0.6,0.00439,0.00117,2.42238,4.11605,1.42875,0.000450912,0.000450912,0.000450912
18,68.8488,1.27491,2.07405,1.09786,0.00333,0.6,0.00439,0.00117,2.42238,4.11605,1.42875,0.00046438,0.00046438,0.00046438
19,72.4866,1.17362,2.10288,1.15262,0.00444,0.8,0.0049,0.00131,2.32842,4.02835,1.3527,0.000476264,0.000476264,0.000476264
20,76.2116,1.25324,2.11606,1.10393,0.00444,0.8,0.0049,0.00131,2.32842,4.02835,1.3527,0.000486564,0.000486564,0.000486564
21,79.882,1.32866,2.24043,1.46294,0.00444,0.8,0.00598,0.00156,2.26441,4.04224,1.36179,0.00049528,0.00049528,0.00049528
22,83.4176,1.11865,1.77424,1.06672,0.00444,0.8,0.00598,0.00156,2.26441,4.04224,1.36179,0.000502412,0.000502412,0.000502412
23,87.0576,1.36282,2.08797,1.06708,0.00444,0.8,0.00838,0.00211,2.18881,3.95347,1.35115,0.00050796,0.00050796,0.00050796
24,90.691,1.27315,2.12415,1.42614,0.00444,0.8,0.00838,0.00211,2.18881,3.95347,1.35115,0.000511924,0.000511924,0.000511924
25,94.3053,1.19984,1.59351,1.1136,0.00444,0.8,0.0096,0.00263,2.10251,3.8515,1.33442,0.000514304,0.000514304,0.000514304
26,97.8661,1.35535,1.83831,1.1913,0.00444,0.8,0.0096,0.00263,2.10251,3.8515,1.33442,0.0005151,0.0005151,0.0005151
27,101.461,1.22623,1.80358,1.20409,0.00444,0.8,0.0096,0.00263,2.10251,3.8515,1.33442,0.000514312,0.000514312,0.000514312
28,105.143,1.22462,1.51782,1.0548,0.00444,0.8,0.00937,0.0031,2.00726,3.69733,1.319,0.00051194,0.00051194,0.00051194
29,108.724,1.28599,1.77838,1.0697,0.00444,0.8,0.00937,0.0031,2.00726,3.69733,1.319,0.000507984,0.000507984,0.000507984
30,112.593,1.23149,2.19468,1.19405,0.00333,0.6,0.01015,0.00593,2.07524,3.67413,1.39053,0.000502444,0.000502444,0.000502444
31,116.565,1.07253,1.77117,0.99341,0.00333,0.6,0.01015,0.00593,2.07524,3.67413,1.39053,0.00049532,0.00049532,0.00049532
32,120.375,1.1076,1.77211,1.00717,0.00333,0.6,0.01015,0.00593,2.07524,3.67413,1.39053,0.000486612,0.000486612,0.000486612
33,123.978,1.0378,1.42932,1.01989,0.00333,0.6,0.04302,0.02895,2.18565,3.56575,1.43314,0.00047632,0.00047632,0.00047632
34,127.296,1.28824,1.62946,1.12857,0.00333,0.6,0.04302,0.02895,2.18565,3.56575,1.43314,0.000464444,0.000464444,0.000464444
35,130.655,1.32976,1.80167,1.23383,0.00333,0.6,0.04302,0.02895,2.18565,3.56575,1.43314,0.000450984,0.000450984,0.000450984
36,134.118,1.13057,1.57336,1.11612,0.00333,0.6,0.05273,0.03059,2.27939,3.51509,1.48826,0.00043594,0.00043594,0.00043594
37,137.466,1.28138,2.08533,1.20633,0.00333,0.6,0.05273,0.03059,2.27939,3.51509,1.48826,0.000419312,0.000419312,0.000419312
38,140.796,1.11829,1.5908,1.11935,0.00333,0.6,0.05273,0.03059,2.27939,3.51509,1.48826,0.0004011,0.0004011,0.0004011
39,144.195,1.16831,1.649,1.07557,0.00333,0.6,0.06904,0.04037,2.33909,3.4745,1.48084,0.000381304,0.000381304,0.000381304
40,147.597,1.09721,1.67534,1.02647,0.00333,0.6,0.06904,0.04037,2.33909,3.4745,1.48084,0.000359924,0.000359924,0.000359924
41,151.154,1.01863,1.96798,1.0424,0.00333,0.6,0.06904,0.04037,2.33909,3.4745,1.48084,0.00033696,0.00033696,0.00033696
42,154.595,1.06292,1.88578,1.16082,0.29376,0.2,0.06895,0.04067,2.31325,3.34421,1.45633,0.000312412,0.000312412,0.000312412
43,157.89,1,1.90291,1.04931,0.29376,0.2,0.06895,0.04067,2.31325,3.34421,1.45633,0.00028628,0.00028628,0.00028628
44,161.263,1.16647,2.29529,1.16618,0.29376,0.2,0.06895,0.04067,2.31325,3.34421,1.45633,0.000258564,0.000258564,0.000258564
45,164.606,0.86036,2.01537,1.01402,0.29376,0.2,0.06895,0.04067,2.31325,3.34421,1.45633,0.000229264,0.000229264,0.000229264
46,167.983,1.03773,1.95038,1.10441,0.24879,0.14927,0.20775,0.05539,2.30817,3.28533,1.44419,0.00019838,0.00019838,0.00019838
47,171.342,1.19631,1.94298,1.17147,0.24879,0.14927,0.20775,0.05539,2.30817,3.28533,1.44419,0.000165912,0.000165912,0.000165912
48,174.653,1.07071,1.89786,1.03784,0.24879,0.14927,0.20775,0.05539,2.30817,3.28533,1.44419,0.00013186,0.00013186,0.00013186
49,177.98,1.03665,1.96387,1.14985,0.24879,0.14927,0.20775,0.05539,2.30817,3.28533,1.44419,9.6224e-05,9.6224e-05,9.6224e-05
50,181.356,0.9903,2.25582,1.12435,0.26961,0.16177,0.37574,0.10275,2.29039,3.19889,1.45757,5.9004e-05,5.9004e-05,5.9004e-05
