epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.97479,2.34656,4.6531,2.01492,0,0,0,0,3.23867,5.57593,1.99773,0,0,0
2,7.84803,2.493,4.19358,2.17238,0,0,0,0,3.18522,5.63632,1.98203,1.9802e-05,1.9802e-05,1.9802e-05
3,11.8461,1.88976,3.73524,1.62495,0,0,0,0,3.17778,5.41993,1.96891,3.9208e-05,3.9208e-05,3.9208e-05
4,15.6751,1.96713,4.04944,1.90233,0,0,0,0,3.07445,5.51914,1.90523,5.8218e-05,5.8218e-05,5.8218e-05
