epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,128.874,1.19984,1.59351,1.1136,0.00444,0.8,0.0096,0.00263,2.10251,3.8515,1.33442,0.000514304,0.000514304,0.000514304
26,132.516,1.35535,1.83831,1.1913,0.00444,0.8,0.0096,0.00263,2.10251,3.8515,1.33442,0.0005151,0.0005151,0.0005151
27,136.37,1.22623,1.80358,1.20409,0.00444,0.8,0.0096,0.00263,2.10251,3.8515,1.33442,0.000514312,0.000514312,0.000514312
28,140.169,1.22462,1.51782,1.0548,0.00444,0.8,0.00937,0.0031,2.00726,3.69733,1.319,0.00051194,0.00051194,0.00051194
29,144.139,1.28599,1.77838,1.0697,0.00444,0.8,0.00937,0.0031,2.00726,3.69733,1.319,0.000507984,0.000507984,0.000507984
30,147.857,1.23149,2.19468,1.19405,0.00333,0.6,0.01015,0.00593,2.07524,3.67413,1.39053,0.000502444,0.000502444,0.000502444
31,151.368,1.07253,1.77117,0.99341,0.00333,0.6,0.01015,0.00593,2.07524,3.67413,1.39053,0.00049532,0.00049532,0.00049532
32,154.855,1.1076,1.77211,1.00717,0.00333,0.6,0.01015,0.00593,2.07524,3.67413,1.39053,0.000486612,0.000486612,0.000486612
33,158.266,1.0378,1.42932,1.01989,0.00333,0.6,0.04302,0.02895,2.18565,3.56575,1.43314,0.00047632,0.00047632,0.00047632
34,161.848,1.28824,1.62946,1.12857,0.00333,0.6,0.04302,0.02895,2.18565,3.56575,1.43314,0.000464444,0.000464444,0.000464444
35,165.428,1.32976,1.80167,1.23383,0.00333,0.6,0.04302,0.02895,2.18565,3.56575,1.43314,0.000450984,0.000450984,0.000450984
36,168.911,1.13057,1.57336,1.11612,0.00333,0.6,0.05273,0.03059,2.27939,3.51509,1.48826,0.00043594,0.00043594,0.00043594
37,172.693,1.28138,2.08533,1.20633,0.00333,0.6,0.05273,0.03059,2.27939,3.51509,1.48826,0.000419312,0.000419312,0.000419312
38,176.298,1.11829,1.5908,1.11935,0.00333,0.6,0.05273,0.03059,2.27939,3.51509,1.48826,0.0004011,0.0004011,0.0004011
39,179.893,1.16831,1.649,1.07557,0.00333,0.6,0.06904,0.04037,2.33909,3.4745,1.48084,0.000381304,0.000381304,0.000381304
40,183.365,1.09721,1.67534,1.02647,0.00333,0.6,0.06904,0.04037,2.33909,3.4745,1.48084,0.000359924,0.000359924,0.000359924
41,187.025,1.01863,1.96798,1.0424,0.00333,0.6,0.06904,0.04037,2.33909,3.4745,1.48084,0.00033696,0.00033696,0.00033696
42,190.703,1.06292,1.88578,1.16082,0.29376,0.2,0.06895,0.04067,2.31325,3.34421,1.45633,0.000312412,0.000312412,0.000312412
43,194.202,1,1.90291,1.04931,0.29376,0.2,0.06895,0.04067,2.31325,3.34421,1.45633,0.00028628,0.00028628,0.00028628
44,197.656,1.16647,2.29529,1.16618,0.29376,0.2,0.06895,0.04067,2.31325,3.34421,1.45633,0.000258564,0.000258564,0.000258564
45,201.168,0.86036,2.01537,1.01402,0.29376,0.2,0.06895,0.04067,2.31325,3.34421,1.45633,0.000229264,0.000229264,0.000229264
46,204.65,1.03773,1.95038,1.10441,0.24879,0.14927,0.20775,0.05539,2.30817,3.28533,1.44419,0.00019838,0.00019838,0.00019838
47,208.308,1.19631,1.94298,1.17147,0.24879,0.14927,0.20775,0.05539,2.30817,3.28533,1.44419,0.000165912,0.000165912,0.000165912
48,211.923,1.07071,1.89786,1.03784,0.24879,0.14927,0.20775,0.05539,2.30817,3.28533,1.44419,0.00013186,0.00013186,0.00013186
49,215.362,1.03665,1.96387,1.14985,0.24879,0.14927,0.20775,0.05539,2.30817,3.28533,1.44419,9.6224e-05,9.6224e-05,9.6224e-05
50,219.024,0.9903,2.25582,1.12435,0.26961,0.16177,0.37574,0.10275,2.29039,3.19889,1.45757,5.9004e-05,5.9004e-05,5.9004e-05
